spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
3e2d8439-531e-4079-9d56-8c2c3ebb590f,b06d43a3-3096-4c9a-b481-ef48b69ce139,,,,,,,,GREENHECK,,,Manufacturer
3cca6fc0-3d7e-4a07-9961-03dee223d8e5,b06d43a3-3096-4c9a-b481-ef48b69ce139,,,,,,,,SP-B200,,,Model
c0775c74-6ac5-40e4-9a3a-5ed99cbd71ce,b06d43a3-3096-4c9a-b481-ef48b69ce139,,,,,,,,CEILING,,,Type
c2e41116-7e77-4aa5-90d1-ee42d6153341,b06d43a3-3096-4c9a-b481-ef48b69ce139,,,,,,,,SPRINKLER,,,Service
de7ec5ef-d442-45a3-bc87-addfbfd95b19,b06d43a3-3096-4c9a-b481-ef48b69ce139,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,150,CFM,,Airflow
7b1b9412-6380-41f2-94fb-e6cd7bbf3e3a,b06d43a3-3096-4c9a-b481-ef48b69ce139,137a3897-e753-49fa-93ec-c79a7797249b,Static Pressure,,,,,,0.4,"W.C.,,ESP
e5907d0d-aa91-4af1-944c-6244a60280e4,b06d43a3-3096-4c9a-b481-ef48b69ce139,a9db1636-760c-4cbe-9af6-8dbc455a98bd,Speed,,,d28ed2e4-e9d5-c574-3acf-378597aac527,Refreshes per Minute,,771,RPM,,Fan RPM
b99b1825-d0d6-41bd-9fc3-22a6032bc2b2,b06d43a3-3096-4c9a-b481-ef48b69ce139,470d59ad-53da-44bf-b4da-2133ebdb95a5,Power,,,,,,172,W,,Fan Power
a45e1132-6ac8-4dc6-945c-e0e552d30269,b06d43a3-3096-4c9a-b481-ef48b69ce139,84a460a0-f9b3-4b84-b603-9c7c7f1578c9,Drive Type,,,,,,DIRECT,,,Drive
bef73513-5199-4e21-bf8f-9e5bec129fb8,b06d43a3-3096-4c9a-b481-ef48b69ce139,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,,,,115,V,Electrical Data,Voltage
504e4b93-72cb-494a-82c9-cd8658a0924e,b06d43a3-3096-4c9a-b481-ef48b69ce139,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,,,,,,1,,Electrical Data,Phase
af530ef8-39ef-4291-84c7-a17220e74a4a,b06d43a3-3096-4c9a-b481-ef48b69ce139,d576d9ff-7b2b-44dd-b0e7-397414ca18da,Current,,,c784fddb-de81-ee74-4bb2-eeefe0d7b171,Amperes,,2.7,A,Electrical Data,FLA
5036a332-b732-4ddb-a131-c6d62f2c9824,b06d43a3-3096-4c9a-b481-ef48b69ce139,d576d9ff-7b2b-44dd-b0e7-397414ca18da,Current,,,c784fddb-de81-ee74-4bb2-eeefe0d7b171,Amperes,,-,A,Electrical Data,MCA
f576e90c-a82e-411f-b67c-d5c336149c20,b06d43a3-3096-4c9a-b481-ef48b69ce139,d576d9ff-7b2b-44dd-b0e7-397414ca18da,Current,,,c784fddb-de81-ee74-4bb2-eeefe0d7b171,Amperes,,15,A,Electrical Data,MOCP
5bd61d0a-c008-4347-9a30-6899196be7ee,b06d43a3-3096-4c9a-b481-ef48b69ce139,e20e886d-fb80-4bb8-b25f-374b29304f6b,Efficiency,,,,,,-,,,FEI
87b1fa8e-3c97-4c16-87c6-01ba111661cc,b06d43a3-3096-4c9a-b481-ef48b69ce139,2da9ea27-8c84-4868-809b-002ec08f6315,Weight,,,fe46f69d-dd77-9a0f-5dc4-1ce604c97ea9,Pound,,12,LBS,,Operating Weight
28b8be62-b58c-4364-b93c-04d0dbf3f6db,b06d43a3-3096-4c9a-b481-ef48b69ce139,,,,,,,,1,,,Remarks
693e9b99-9f05-4798-8c46-2abb40e1dcc4,7ef07057-b913-4517-a479-efa9d573af37,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,adcf9796-b4e4-4354-bac0-977aae9882fc,Greenheck,,,,GREENHECK,,,Manufacturer
b7e10a72-3b0b-404b-afaa-69e45369e299,7ef07057-b913-4517-a479-efa9d573af37,,,,,,,,DC-5-14-13LV,,,Model
643032bd-38e3-42e5-b43e-84efd48890ba,7ef07057-b913-4517-a479-efa9d573af37,,,,,,,,CEILING,,,Type
e83cecd6-ea0e-448e-9e52-66d907bc5f80,7ef07057-b913-4517-a479-efa9d573af37,,,,,,,,SERVICE DEPARTMENT,,,Service
8be004bd-c244-457e-90bf-a35d76ae2693,7ef07057-b913-4517-a479-efa9d573af37,,,,,,,,30780,CFM,,Airflow
4c84c366-d63d-4650-983a-02ca4e335c1e,7ef07057-b913-4517-a479-efa9d573af37,,,,,,,,-,"W.C.,,ESP
ae61dcce-511e-453e-9817-6f48053ceaba,7ef07057-b913-4517-a479-efa9d573af37,,,,,,,,42,RPM,,Fan RPM
8245bb98-cc19-49a9-858f-c25e5fc7e976,7ef07057-b913-4517-a479-efa9d573af37,,,,,,,,175,W,,Fan Power
046bde2e-74b4-477c-acfc-8c674c1e87c1,7ef07057-b913-4517-a479-efa9d573af37,,,,,,,,DIRECT,,,Drive
c6b5223c-07ea-4f86-9111-38778dd03746,7ef07057-b913-4517-a479-efa9d573af37,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,,,,115,V,Electrical Data,Voltage
3925a5af-8762-4306-909b-e74314279625,7ef07057-b913-4517-a479-efa9d573af37,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,,,,,,1,,Electrical Data,Phase
