package_id,spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,1c1502ae-1f7d-4fc6-ad83-c62e8bd79ded,42c1c233-f173-408e-926c-97ca9f1f2bf0,,,,,,,,0.25,IN WG,Air Pressure,Downstream
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,2a7e7d33-a0bc-491d-8f21-b693866b898a,42c1c233-f173-408e-926c-97ca9f1f2bf0,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.01,IN WG,Air Pressure,OP PD
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,b4f994dd-a071-4c19-9c09-dc8025d75614,42c1c233-f173-408e-926c-97ca9f1f2bf0,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,8.6,KW,,Heating Capacity
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,e7f2c0ed-c359-438a-abc8-63e571d09af1,42c1c233-f173-408e-926c-97ca9f1f2bf0,,,,,,,,#N/A,°F,Electric Reheat,LAT
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,bd37266b-e7ef-4cc4-9a25-f773b8efa333,42c1c233-f173-408e-926c-97ca9f1f2bf0,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,,,,480-3,,Electric Reheat,Voltage / Phase
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,57ad1254-05c9-4dcb-bd3a-b99625a4087a,42c1c233-f173-408e-926c-97ca9f1f2bf0,,,,,,,,SCR,,Electric Reheat,EC Type
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,d25a81dc-f120-4c33-885b-59761182351f,42c1c233-f173-408e-926c-97ca9f1f2bf0,,,,,,,,15,,Electric Reheat,MOP
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,a4fd0c80-9ab4-45f9-a257-d1c14cc403ab,42c1c233-f173-408e-926c-97ca9f1f2bf0,,,,,,,,14.1,,Electric Reheat,MCA
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,71c4a505-5614-40ea-a510-5ff981f0b97b,e8e24309-7aa0-4282-9774-25fa85260765,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,0e1e3a84-c6bb-498f-b66b-028b23e678be,e8e24309-7aa0-4282-9774-25fa85260765,325c8c53-9f6e-4c60-b9b8-031a198a562a,Inlet Size,,,,,,16,,,Unit Size
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,07345e1a-c93c-497e-875d-450c693ee08b,e8e24309-7aa0-4282-9774-25fa85260765,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,1770,CFM,Airflow,Cooling Max
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,d3df81f0-c698-4b1d-8b77-90027e965ad8,e8e24309-7aa0-4282-9774-25fa85260765,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,944,CFM,Airflow,Cooling Min
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,bdc605bc-8ac2-4f91-80ad-c394595d28c2,e8e24309-7aa0-4282-9774-25fa85260765,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,945,CFM,Airflow,Reheat
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,e6a58271-4196-46f9-8f76-0631c21086ef,e8e24309-7aa0-4282-9774-25fa85260765,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,1.25,IN WG,Air Pressure,Inlet Static Pressure
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,a253200d-a99f-4cfb-9c68-1886d6851ba2,e8e24309-7aa0-4282-9774-25fa85260765,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.25,IN WG,Air Pressure,Downstream
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,cca286bd-5e33-4528-96f8-0a7549bcf011,e8e24309-7aa0-4282-9774-25fa85260765,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.01,IN WG,Air Pressure,OP PD
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,ac5dad9b-1281-403a-b0d4-a19878245f02,e8e24309-7aa0-4282-9774-25fa85260765,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,13.4,KW,,Heating Capacity
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,b67ae233-f09f-47ac-9317-ab94749f2617,e8e24309-7aa0-4282-9774-25fa85260765,,,,,,,,SDV,,,Model
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,a96ff474-6988-46b4-9d66-289c4a5242b1,e8e24309-7aa0-4282-9774-25fa85260765,,,,,,,,99.9,°F,Electric Reheat,LAT
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,6e98f34e-5f1f-4977-9eea-3aa0bab4a875,e8e24309-7aa0-4282-9774-25fa85260765,,,,,,,,480-3,,Electric Reheat,Voltage / Phase
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,24fafd89-d696-45c5-a9a8-2c710ced286c,e8e24309-7aa0-4282-9774-25fa85260765,,,,,,,,SCR,,Electric Reheat,EC Type
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,4c06d972-8e91-496f-8520-817e02403390,e8e24309-7aa0-4282-9774-25fa85260765,,,,,,,,25,,Electric Reheat,MOP
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,62188082-795a-4788-a4ad-e76b344d7bbc,e8e24309-7aa0-4282-9774-25fa85260765,,,,,,,,22,,Electric Reheat,MCA
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,bc34b16d-d335-4c82-b3bd-27d40eec1832,eea35eac-1513-423c-b7dc-ad96cd967fed,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,4c65478d-4d34-455b-b964-95ab1c5fb5d6,eea35eac-1513-423c-b7dc-ad96cd967fed,,,,,,,,SDV,,,Model
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,0d5d802f-e898-479f-b0a2-37ec2e12dadf,eea35eac-1513-423c-b7dc-ad96cd967fed,325c8c53-9f6e-4c60-b9b8-031a198a562a,Inlet Size,,,,,,6,,,Unit Size
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,c6710c65-2fb2-4681-8ee5-6a5b59b0ecef,eea35eac-1513-423c-b7dc-ad96cd967fed,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,140,CFM,Airflow,Cooling Max
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,f90ca239-3021-4a71-912c-2a3be882f811,eea35eac-1513-423c-b7dc-ad96cd967fed,,,,,,,,85,CFM,Airflow,Cooling Min
