spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
4205a8f4-30b0-49cf-821a-dd3aabdbfbfa,b053fe27-55c2-4a92-b2aa-9201bc119e64,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,74df1e98-d237-4dac-a7c1-024d504d41ab,Titus,,,"{"kind":"flat","type":"Manufacturer","unit":null,"value":"TITUS","category":null}",TITUS,,,Manufacturer
ea08d5e3-be1b-44d3-bc38-1710b6c5f052,b053fe27-55c2-4a92-b2aa-9201bc119e64,,,,,,,"{"kind":"flat","type":"Model No.","unit":null,"value":"TMS","category":null}",TMS,,,Model No.
5e5f5b39-5b20-4f8a-a08a-21dc8b6236e3,b053fe27-55c2-4a92-b2aa-9201bc119e64,1218d64e-671a-43a2-bb0e-2a6b02310175,Size,,,,,"{"kind":"flat","type":"Size","unit":null,"value":"12x12","category":null}",12x12,,,Size
d65f5dd2-7d1e-41c1-abb4-bb184c5de197,b053fe27-55c2-4a92-b2aa-9201bc119e64,,,,,,,"{"kind":"flat","type":"Size","unit":null,"value":"24x24","category":null}",24x24,,,Size
cea9c24e-e740-4c93-ab48-575361a206a7,b053fe27-55c2-4a92-b2aa-9201bc119e64,f7ee43b0-fc36-44a2-9a18-d962b4a2ea15,Corrosion Resistance,,,,,"{"kind":"flat","type":"Finish","unit":null,"value":"WHITE ENAMEL","category":null}",WHITE ENAMEL,,,Finish
ed7fc704-47b2-4228-b286-048407fae772,b053fe27-55c2-4a92-b2aa-9201bc119e64,523740af-9ca7-455c-ab51-4ad1918ab54a,Material,,,,,"{"kind":"flat","type":"Material","unit":null,"value":"STEEL","category":null}",STEEL,,,Material
508ee5c0-da73-42e4-9c26-e0cbece7efb8,b053fe27-55c2-4a92-b2aa-9201bc119e64,,,,,,,"{"kind":"flat","type":"Description","unit":null,"value":"SQUARE CONE","category":null}",SQUARE CONE,,,Description
c7bfb01f-ca03-4386-8d20-30bd468d0b75,b053fe27-55c2-4a92-b2aa-9201bc119e64,,,,,,,"{"kind":"flat","type":"Notes","unit":null,"value":"1, 2","category":null}","1, 2",,,Notes
05ad86af-73c9-436e-be71-2221e8a779b4,e5cf9a5b-c471-4ada-84f7-e4730274e0e0,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,5bb59d7e-8883-4d05-bc90-92a22a857b51,Supply,,,"{"kind":"flat","type":"Service","unit":null,"value":"SUPPLY GRILLE","category":null}",SUPPLY GRILLE,,,Service
1ad70281-60e5-4dff-9689-f69e3deef1e5,e5cf9a5b-c471-4ada-84f7-e4730274e0e0,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,74df1e98-d237-4dac-a7c1-024d504d41ab,Titus,,,"{"kind":"flat","type":"Manufacturer","unit":null,"value":"Titus","category":null}",Titus,,,Manufacturer
