spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
cdf63113-a836-4b3a-8c90-a5c5ea6f37bd,908e21b9-bf08-4110-b7df-4220c97444d7,,,,,,,"{"kind":"flat","type":"EER","unit":null,"value":"10","category":null}",10,,,EER
b53c276a-7b78-4883-9433-e74559cdc928,908e21b9-bf08-4110-b7df-4220c97444d7,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Total","unit":"MBH","value":"187","category":"Cooling Capacity"}",187,MBH,Cooling Capacity,Total
294e03bd-0767-423c-b53a-236543af7741,908e21b9-bf08-4110-b7df-4220c97444d7,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Sensible","unit":"MBH","value":"131","category":"Cooling Capacity"}",131,MBH,Cooling Capacity,Sensible
103282d3-069c-451b-8dc6-7fc8d9055141,908e21b9-bf08-4110-b7df-4220c97444d7,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"Dry Bulb/Wet Bulb","unit":"°F","value":"78/67","category":"Cooling Capacity"}",78/67,°F,Cooling Capacity,Dry Bulb/Wet Bulb
c566d7da-a36c-47c1-80df-cfd7b79ce01e,908e21b9-bf08-4110-b7df-4220c97444d7,,,,,,,"{"kind":"flat","type":"Unit MCA","unit":null,"value":"42","category":"Electrical"}",42,,Electrical,Unit MCA
95cf7812-c97e-4028-a466-96d35657378c,908e21b9-bf08-4110-b7df-4220c97444d7,,,,,,,"{"kind":"flat","type":"Unit MOCP","unit":null,"value":"50","category":"Electrical"}",50,,Electrical,Unit MOCP
5ef5fe5f-9082-460e-9239-ea5b2317972b,908e21b9-bf08-4110-b7df-4220c97444d7,,,,,fe46f69d-dd77-9a0f-5dc4-1ce604c97ea9,Pound,"{"kind":"flat","type":"Net Unit Weight","unit":"LBS","value":"2392","category":null}",2392,LBS,,Net Unit Weight
30624344-310c-4cd4-b0cb-c31a5260a178,908e21b9-bf08-4110-b7df-4220c97444d7,ee42cdfe-bea4-4963-aa29-7170ed419a8a,Cooling Capacity,,,85667e8f-cb0f-4df8-94a6-51c5282b1f75,Tons of Refrigeration,"{"kind":"flat","type":"Nominal Tons","unit":"Tons","value":"15.0","category":null}",15.0,Tons,,Nominal Tons
bbb58ecd-6fd5-4235-837b-30224eaf9b58,908e21b9-bf08-4110-b7df-4220c97444d7,17b0d394-6162-44b8-adc5-e44902b29d50,Indoor Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"CFM","unit":"CFM","value":"6000","category":null}",6000,CFM,,CFM
640cf48f-43fe-4461-9ff6-e3cfbf7c38f3,908e21b9-bf08-4110-b7df-4220c97444d7,1352d773-8432-4c97-acb1-31aabbbe599b,Outdoor Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"O/A CFM","unit":"CFM","value":"1200","category":null}",1200,CFM,,O/A CFM
56db636d-603e-40c1-9b0c-a43c12e4cdc1,908e21b9-bf08-4110-b7df-4220c97444d7,61378316-5d69-451a-afc7-2284c55eef7c,Seasonal Energy Efficiency Ratio,,,,,"{"kind":"flat","type":"SEER","unit":null,"value":"14","category":null}",14,,,SEER
927c984b-395e-4bdc-acbb-8d231b95a7db,908e21b9-bf08-4110-b7df-4220c97444d7,e8acafc6-b152-4de5-903f-896af6120423,Power Input,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Elec Input","unit":"MBH","value":"167","category":"Heating"}",167,MBH,Heating,Elec Input
0535c18f-84e7-4569-bc36-3a590cdfbb0f,908e21b9-bf08-4110-b7df-4220c97444d7,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,1385179c-3960-925e-1168-57acc1c87378,Volt,"{"kind":"flat","type":"Voltage","unit":"Volts","value":"460","category":"Electrical"}",460,Volts,Electrical,Voltage
3b333f0d-e2cb-461e-9b9e-c5bac69bf12e,908e21b9-bf08-4110-b7df-4220c97444d7,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,,,48448411-f919-5e27-f453-70f4ef41c6be,pH,"{"kind":"flat","type":"Phase","unit":"Ph","value":"3","category":"Electrical"}",3,Ph,Electrical,Phase
30c7b430-cb47-4112-862e-755c0901b761,908e21b9-bf08-4110-b7df-4220c97444d7,9aae5376-ca52-4e0d-8853-822740d0973b,Frequency,,,b5e91e48-bf45-7e1f-45c2-fca2f122a079,Cycles per Second,"{"kind":"flat","type":"Frequency","unit":"Hz","value":"60","category":"Electrical"}",60,Hz,Electrical,Frequency
