spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
b34333f0-d35a-44b8-b77f-7a9b1cf8e592,ba29af70-cd93-4027-91b5-39717b5fdef3,,,,,,,"{"kind":"flat","type":"Description","unit":null,"value":"DOUBLE DEFLECTION SIDEWALL GRILLE WITH HORIZONTAL FRONT BARS. SURFACE MOUNTED (1)","category":null}",DOUBLE DEFLECTION SIDEWALL GRILLE WITH HORIZONTAL FRONT BARS. SURFACE MOUNTED (1),,,Description
79278b8d-b0d7-4030-b038-2648f17fd275,ba29af70-cd93-4027-91b5-39717b5fdef3,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,57aeb21f-d927-4064-962b-67452f64f868,Return,,,"{"kind":"flat","type":"Service","unit":null,"value":"RETURN AIR","category":null}",RETURN AIR,,,Service
80512074-3330-410d-bcd6-252ce77622ce,ba29af70-cd93-4027-91b5-39717b5fdef3,f06c4464-748f-4758-a57b-ef4242dd220c,Pump Type,,,,,"{"kind":"flat","type":"Type","unit":null,"value":"GRILLE","category":null}",GRILLE,,,Type
ddd432f8-7023-4521-a5f9-e57a4147457d,ba29af70-cd93-4027-91b5-39717b5fdef3,523740af-9ca7-455c-ab51-4ad1918ab54a,Material,,,,,"{"kind":"flat","type":"Construction Material","unit":null,"value":"STEEL","category":null}",STEEL,,,Construction Material
3bdecca6-d45d-4b82-a062-f3390b10558b,ba29af70-cd93-4027-91b5-39717b5fdef3,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,74df1e98-d237-4dac-a7c1-024d504d41ab,Titus,,,"{"kind":"flat","type":"Manufacturer","unit":null,"value":"TITUS","category":null}",TITUS,,,Manufacturer
f288b676-f34f-4d2c-8f4b-c312cc6cc57e,11608905-3a50-493d-b472-b88c4e960a90,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,57aeb21f-d927-4064-962b-67452f64f868,Return,,,"{"kind":"flat","type":"Service","unit":null,"value":"RETURN AIR","category":null}",RETURN AIR,,,Service
b8a6eb12-2a82-4889-a4b1-df50ae4c0740,11608905-3a50-493d-b472-b88c4e960a90,,,,,,,"{"kind":"flat","type":"Type","unit":null,"value":"DIFFUSER","category":null}",DIFFUSER,,,Type
7bb17a0e-6679-4532-ad63-1b0966fe529c,11608905-3a50-493d-b472-b88c4e960a90,523740af-9ca7-455c-ab51-4ad1918ab54a,Material,,,,,"{"kind":"flat","type":"Construction Material","unit":null,"value":"STEEL","category":null}",STEEL,,,Construction Material
d5345434-fa07-4ec7-9fbd-e7897c9f872d,11608905-3a50-493d-b472-b88c4e960a90,,,,,,,"{"kind":"flat","type":"Finish Color","unit":null,"value":"WHITE","category":null}",WHITE,,,Finish Color
63e8e9c6-d55c-4ac4-bc0e-2bc03c73785b,11608905-3a50-493d-b472-b88c4e960a90,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,74df1e98-d237-4dac-a7c1-024d504d41ab,Titus,,,"{"kind":"flat","type":"Manufacturer","unit":null,"value":"TITUS","category":null}",TITUS,,,Manufacturer
