project_id,package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
e56b9fc4-e527-43de-8e14-c1548389799f,550f6f93-342f-4b75-a382-e0ab0cbf73ae,BOILER SCHEDULE (B),b3a42bd3-bc02-41ea-ae2b-348f3893731a,B-1,60b323a2-cc25-421d-822f-c3bc9a601b18,Heating Boilers,0,88329cc2-3c94-472a-9126-5cd3d4dcb2dd,FTX600,FTX600,Lochinvar,Lochinvar
e56b9fc4-e527-43de-8e14-c1548389799f,5c74b1e2-5017-4013-b3d9-04632efacd85,AIRDIRT SEPARATOR SCHEDULE (AS),d51927c8-999e-4067-b5ee-8c50fd84fea2,ET-1,b60362bd-1d7d-4b1a-8bb7-0139a966bcf5,Hydronic Piping Specialties,0,6b600cae-e152-4056-bb90-c1df923e56cd,JAER-23-603,JAER-23-603,The John Wood Company,The John Wood Company
e56b9fc4-e527-43de-8e14-c1548389799f,5c74b1e2-5017-4013-b3d9-04632efacd85,AIRDIRT SEPARATOR SCHEDULE (AS),30d40890-79ce-47d2-a34e-b8a3b166255b,AS-1,b60362bd-1d7d-4b1a-8bb7-0139a966bcf5,Hydronic Piping Specialties,0,b7285132-f335-4dbf-a8e7-2c120d3c8270,VDX200FAM,VDX200FAM,Spirotherm,Spirotherm
e56b9fc4-e527-43de-8e14-c1548389799f,5c74b1e2-5017-4013-b3d9-04632efacd85,AIRDIRT SEPARATOR SCHEDULE (AS),c6ca47dc-0d2e-4f1e-a65d-f75c0991530f,GF-1,b60362bd-1d7d-4b1a-8bb7-0139a966bcf5,Hydronic Piping Specialties,0,d78c4047-aa7c-4c7b-8047-d052d408ff42,GMP6,GMP6,Grundfos,Grundfos
e56b9fc4-e527-43de-8e14-c1548389799f,5c74b1e2-5017-4013-b3d9-04632efacd85,AIRDIRT SEPARATOR SCHEDULE (AS),323af4a8-1100-4a86-a416-0ee733c4805d,GF-2,46d5f3ef-ad9d-4600-b6f2-3ce509a80f8e,Process Heating Units,0,d5e8a927-c5bf-4240-a812-234dc62a3cb9,GMP-18,GMP-18,Grundfos,Grundfos
e56b9fc4-e527-43de-8e14-c1548389799f,f8747747-bd11-4adf-9981-68e3a5fcadc7,ELECTRIC WALL HEATER SCHEDULE (EWH),62cecba8-e11c-4000-8556-4c119ed8dc30,EWH-2,d3400b97-d382-47e1-8d2e-b54524e40d4d,Cabinet Unit Heaters,0,3ae3d438-421d-4eff-8e46-3b74d0e7fcee,E3055T2DWB,E3055T2DWB,Markel Products,Markel Products
e56b9fc4-e527-43de-8e14-c1548389799f,f8747747-bd11-4adf-9981-68e3a5fcadc7,ELECTRIC WALL HEATER SCHEDULE (EWH),935b658d-06f4-4fc9-8490-b3c43a7a9d5a,EWH-1,d3400b97-d382-47e1-8d2e-b54524e40d4d,Cabinet Unit Heaters,0,3ae3d438-421d-4eff-8e46-3b74d0e7fcee,E3055T2DWB,E3055T2DWB,Markel Products,Markel Products
e56b9fc4-e527-43de-8e14-c1548389799f,8d3e8fc4-96a0-4912-a99f-6af354b48790,Packaged Rooftop Air-Conditioning Units,b2da93e0-574e-489d-a157-378ac26579d7,RTU-1-8,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,3d2bdffc-b6db-4714-a821-9c3e8c0ba86a,RNA026DA3GJBB,RNA026DA3GJBB,AAON,AAON
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),aca106a6-afde-4bc8-9a15-7b23350c59ab,VAV W2-303,,,0,,,,,Price Industries
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),cb49d534-de0d-456d-9b3b-6d6799eeead7,VAV W1-204,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),c867d492-d252-4ff0-b0df-d24950b58e45,VAV E1-103,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),be0b1c58-e8f2-4a02-89a5-2b880b4afd87,VAV W2-207,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),53d4772f-ccd7-44ea-ae98-1ec2683910e7,VAV E1-101,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),ea9fcd02-12a8-4d0c-a813-acea998c9662,VAV W1-301,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),3e757d79-e51a-4bb2-9f52-cd292e6a6716,VAV W2-205,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
5d46b1d8-016e-4239-9789-997b9d5d1d40,24c84641-a11f-48bc-a271-ab2d888e3e62,VARIABLE AIR VOLUME TERMINAL SCHEDULE (ELECTRIC HEAT),6619ad65-080a-4731-8d9c-cb4e1591d8d7,VAV E1-107,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,8bb5e6c9-703d-43bf-8787-b4e2c32c1529,SDV Single Duct Terminal Unit,SDV,Trane,Trane
